task_id,task_type,compute_units,data_size_mb,deadline_sec,priority
T-1097,object_tracking,4.47,21.84,1.43,5
T-1098,object_tracking,5.74,15.12,1.76,5
T-1099,anomaly_detection,6.89,30.24,1.53,4
T-1100,anomaly_detection,6.87,26.48,2.14,4
T-1101,anomaly_detection,4.81,32.03,1.68,4
T-1102,terrain_mapping,11.09,82.47,5.1,2
T-1103,path_planning,3.04,6.39,1.2,5
T-1104,image_processing,8.69,56.63,2.51,1
T-1105,terrain_mapping,9.41,81.76,4.38,5
T-1106,image_processing,6.23,51.88,3.39,3
T-1107,object_tracking,5.28,22.08,1.27,5
T-1108,path_planning,2.75,6.82,1.06,5
T-1109,path_planning,3.79,6.48,0.9,5
T-1110,image_processing,8.56,58.45,2.78,3
T-1111,anomaly_detection,4.77,31.71,1.69,4
T-1112,anomaly_detection,6.99,23.87,2.07,4
T-1113,image_processing,7.97,58.57,3.11,3
T-1114,terrain_mapping,8.43,76.22,4.65,2
T-1115,image_processing,9.65,54.31,2.6,5
T-1116,anomaly_detection,6.33,20.28,1.85,4
T-1117,image_processing,9.73,53.29,2.77,3
T-1118,terrain_mapping,10.3,75.46,5.41,2
T-1119,terrain_mapping,9.62,81.83,5.22,2
T-1120,image_processing,7.54,53.79,3.28,5
T-1121,anomaly_detection,5.0,24.54,1.54,4
T-1122,image_processing,7.46,57.07,2.84,3
T-1123,anomaly_detection,5.94,22.65,1.53,4
T-1124,path_planning,2.6,4.95,0.84,5
T-1125,terrain_mapping,8.34,78.98,5.1,2
T-1126,image_processing,8.88,51.86,2.99,5
T-1127,anomaly_detection,5.5,34.47,2.07,4
T-1128,image_processing,6.15,41.12,3.29,1
T-1129,path_planning,3.61,6.34,0.98,5
T-1130,object_tracking,4.3,20.79,1.75,2
T-1131,terrain_mapping,10.62,74.14,5.38,2
T-1132,image_processing,6.69,41.0,2.81,3
T-1133,terrain_mapping,10.44,85.06,4.1,2
T-1134,image_processing,7.99,55.98,2.72,3
T-1135,terrain_mapping,9.35,85.08,5.11,2
T-1136,image_processing,9.9,51.52,2.64,3
T-1137,path_planning,3.53,5.97,0.93,2
T-1138,terrain_mapping,8.67,71.1,4.25,2
T-1139,object_tracking,4.08,16.0,1.71,5
T-1140,path_planning,2.03,5.43,0.8,5
T-1141,image_processing,8.83,51.87,2.78,3
T-1142,terrain_mapping,10.77,66.18,4.96,2
T-1143,terrain_mapping,8.96,65.24,5.04,2
T-1144,terrain_mapping,10.45,62.64,5.24,2
T-1145,terrain_mapping,8.02,67.07,4.18,2
T-1146,image_processing,8.48,57.25,3.49,3
T-1147,terrain_mapping,11.08,79.78,4.41,2
T-1148,path_planning,3.37,7.84,0.99,5
T-1149,image_processing,6.22,47.28,2.71,3
T-1150,object_tracking,5.61,22.58,1.23,5
T-1151,object_tracking,4.35,22.85,1.49,2
T-1152,terrain_mapping,10.37,69.78,4.3,2
T-1153,anomaly_detection,4.69,21.65,1.66,4
T-1154,terrain_mapping,11.48,71.27,4.33,2
T-1155,terrain_mapping,8.22,73.08,4.32,2
T-1156,path_planning,2.77,3.68,1.09,5
T-1157,anomaly_detection,4.61,21.91,1.98,2
T-1158,image_processing,9.41,49.17,2.67,3
T-1159,anomaly_detection,5.81,31.84,1.95,4
T-1160,path_planning,3.16,5.76,0.89,5
T-1161,object_tracking,4.98,24.96,1.55,5
T-1162,anomaly_detection,4.04,26.42,2.11,4
T-1163,terrain_mapping,10.32,86.75,4.89,5
T-1164,image_processing,7.67,40.88,3.49,3
T-1165,object_tracking,4.07,20.31,1.49,5
T-1166,image_processing,7.81,44.81,3.06,4
T-1167,path_planning,2.27,4.48,1.06,4
T-1168,anomaly_detection,4.49,26.89,1.9,4
T-1169,terrain_mapping,9.86,64.16,5.05,2
T-1170,anomaly_detection,5.88,30.56,1.5,4
T-1171,terrain_mapping,11.57,69.99,4.05,2
T-1172,anomaly_detection,6.09,29.19,1.9,4
T-1173,image_processing,8.48,46.71,3.43,3
T-1174,anomaly_detection,6.66,21.66,1.76,4
T-1175,anomaly_detection,5.1,29.72,1.99,4
T-1176,path_planning,2.28,4.67,1.02,5
T-1177,object_tracking,5.74,22.03,1.65,5
T-1178,anomaly_detection,5.06,24.01,1.98,4
T-1179,image_processing,7.49,49.05,3.0,3
T-1180,terrain_mapping,10.84,80.35,4.8,2
T-1181,object_tracking,4.74,21.73,1.62,5
T-1182,image_processing,6.75,57.68,2.59,3
T-1183,path_planning,2.58,7.78,0.84,5
T-1184,path_planning,2.99,7.37,1.01,5
T-1185,anomaly_detection,5.25,30.24,2.15,4
T-1186,terrain_mapping,9.78,79.34,4.44,2
T-1187,object_tracking,5.29,19.12,1.41,5
T-1188,anomaly_detection,5.46,29.99,1.87,4
T-1189,terrain_mapping,9.22,63.96,5.18,2
T-1190,anomaly_detection,4.68,25.58,1.7,4
T-1191,path_planning,2.71,5.28,0.87,5
T-1192,object_tracking,4.57,24.73,1.7,5
T-1193,path_planning,2.32,3.58,1.2,5
T-1194,terrain_mapping,9.04,65.53,4.84,3
T-1195,anomaly_detection,4.44,26.73,2.18,4
T-1196,image_processing,9.68,48.09,3.0,4
T-1197,anomaly_detection,4.47,34.55,1.88,4
T-1198,anomaly_detection,5.42,24.35,2.16,4
T-1199,object_tracking,5.33,23.0,1.64,5
T-1200,anomaly_detection,6.07,30.97,2.13,5
T-1201,image_processing,7.23,48.03,3.34,3
T-1202,image_processing,7.31,52.16,2.7,3
T-1203,anomaly_detection,4.59,21.25,2.09,4
T-1204,image_processing,9.9,47.89,2.99,3
T-1205,object_tracking,5.89,24.08,1.42,4
T-1206,anomaly_detection,5.16,20.18,1.74,4
T-1207,terrain_mapping,11.5,62.63,5.09,2
T-1208,terrain_mapping,11.21,68.66,5.21,2
T-1209,terrain_mapping,10.91,72.43,5.25,2
T-1210,path_planning,2.42,5.37,1.15,5
T-1211,image_processing,9.73,51.81,2.88,3
T-1212,terrain_mapping,8.7,73.86,4.85,2
T-1213,path_planning,2.37,4.91,1.02,3
T-1214,object_tracking,4.61,20.59,1.48,1
T-1215,path_planning,2.53,7.78,1.13,5
T-1216,anomaly_detection,5.25,27.38,1.98,4
T-1217,image_processing,9.06,49.86,3.47,3
T-1218,anomaly_detection,5.74,28.48,2.11,4
T-1219,terrain_mapping,11.9,84.55,4.56,2
T-1220,image_processing,9.38,43.26,2.56,3
T-1221,path_planning,2.71,3.26,0.94,5
T-1222,anomaly_detection,4.15,24.37,1.95,2
T-1223,path_planning,3.53,5.99,0.87,5
T-1224,anomaly_detection,6.48,30.27,1.71,4
T-1225,anomaly_detection,4.29,28.7,2.08,5
T-1226,anomaly_detection,5.12,27.27,1.74,4
T-1227,image_processing,6.87,50.07,3.33,3
T-1228,object_tracking,5.23,23.31,1.52,5
T-1229,object_tracking,5.4,23.03,1.45,5
T-1230,image_processing,9.28,58.47,2.98,3
T-1231,anomaly_detection,4.42,26.63,2.19,4
T-1232,anomaly_detection,4.52,24.57,2.02,2
T-1233,path_planning,3.38,4.54,0.88,5
T-1234,terrain_mapping,10.76,83.52,4.12,2
T-1235,terrain_mapping,8.17,63.23,5.19,2
T-1236,image_processing,7.88,58.17,2.54,3
T-1237,image_processing,9.02,55.65,3.42,3
T-1238,path_planning,2.37,4.76,0.84,5
T-1239,anomaly_detection,6.85,25.22,1.61,4
T-1240,object_tracking,4.48,20.7,1.26,5
T-1241,image_processing,8.12,54.32,3.46,3
T-1242,object_tracking,4.01,22.25,1.75,5
T-1243,terrain_mapping,9.47,77.68,4.66,2
T-1244,path_planning,3.67,7.91,0.97,5
T-1245,terrain_mapping,8.45,89.54,4.19,2
T-1246,terrain_mapping,11.05,81.14,4.84,3
T-1247,terrain_mapping,8.46,68.51,4.9,2
T-1248,terrain_mapping,8.9,72.22,5.48,2
T-1249,image_processing,9.58,56.05,3.44,3
T-1250,image_processing,9.99,49.83,2.61,3
T-1251,image_processing,6.48,47.9,3.2,3
T-1252,path_planning,2.13,7.88,0.94,5
T-1253,terrain_mapping,8.49,85.14,5.09,2
T-1254,object_tracking,5.19,22.56,1.68,5
T-1255,anomaly_detection,5.43,29.05,1.78,4
T-1256,anomaly_detection,4.44,26.82,1.59,4
T-1257,path_planning,3.26,3.67,0.84,1
T-1258,terrain_mapping,10.71,89.16,4.57,2
T-1259,path_planning,2.61,6.12,1.1,5
T-1260,object_tracking,5.54,22.93,1.32,5
T-1261,terrain_mapping,10.02,76.27,5.21,2
T-1262,image_processing,9.81,40.63,2.93,3
T-1263,terrain_mapping,9.8,85.59,4.66,2
T-1264,object_tracking,5.32,22.79,1.73,5
T-1265,terrain_mapping,8.54,81.47,4.73,4
T-1266,object_tracking,5.37,20.72,1.49,5
T-1267,object_tracking,4.11,17.63,1.55,5
T-1268,anomaly_detection,6.3,24.27,1.54,4
T-1269,path_planning,3.67,4.74,1.1,3
T-1270,terrain_mapping,8.39,70.35,4.54,2
T-1271,path_planning,2.5,6.24,1.04,5
T-1272,image_processing,9.48,42.29,2.67,3
T-1273,image_processing,7.84,57.27,3.07,3
T-1274,anomaly_detection,4.06,27.05,1.52,4
T-1275,object_tracking,4.78,20.73,1.68,2
T-1276,anomaly_detection,5.49,32.17,1.97,4
T-1277,anomaly_detection,5.09,26.54,1.85,4
T-1278,image_processing,9.36,50.72,2.79,5
T-1279,terrain_mapping,11.22,78.74,5.44,2
T-1280,object_tracking,4.19,18.37,1.24,5
T-1281,terrain_mapping,9.71,70.42,4.11,2
T-1282,object_tracking,5.61,19.33,1.52,5
T-1283,terrain_mapping,9.01,75.46,5.01,2
T-1284,image_processing,8.51,50.32,2.69,3
T-1285,terrain_mapping,9.07,79.14,5.21,2
T-1286,terrain_mapping,11.74,81.8,4.09,2
T-1287,terrain_mapping,8.59,64.51,5.03,2
T-1288,terrain_mapping,9.64,85.81,5.37,2
T-1289,terrain_mapping,9.07,68.61,4.24,2
T-1290,path_planning,2.81,3.57,0.88,5
T-1291,anomaly_detection,5.39,28.4,1.81,4
T-1292,image_processing,6.81,45.45,2.53,3
T-1293,anomaly_detection,5.98,22.64,2.1,4
T-1294,terrain_mapping,11.13,61.66,5.34,2
T-1295,anomaly_detection,6.6,33.51,1.78,4
T-1296,image_processing,7.59,56.8,3.34,3
T-1297,object_tracking,5.47,24.33,1.51,5
T-1298,object_tracking,4.5,23.85,1.34,3
T-1299,anomaly_detection,6.5,31.06,2.06,4
T-1300,terrain_mapping,8.87,63.2,4.32,2
T-1301,terrain_mapping,9.02,77.68,4.74,2
T-1302,image_processing,7.27,48.48,3.18,3
T-1303,path_planning,2.73,6.58,1.13,5
T-1304,image_processing,9.37,53.24,3.44,3
T-1305,path_planning,2.51,4.92,1.06,5
T-1306,image_processing,8.14,44.73,2.94,4
T-1307,anomaly_detection,4.9,34.04,2.03,4
T-1308,path_planning,3.83,6.16,1.15,5
T-1309,terrain_mapping,11.16,68.22,4.12,2
T-1310,terrain_mapping,9.88,72.39,5.26,2
T-1311,image_processing,9.3,53.97,3.01,3
T-1312,object_tracking,5.46,20.48,1.4,5
T-1313,image_processing,8.57,43.67,2.94,3
T-1314,image_processing,7.6,52.57,2.81,2
T-1315,path_planning,3.03,7.85,1.13,5
T-1316,object_tracking,5.37,22.93,1.39,5
T-1317,path_planning,2.52,6.44,1.13,5
T-1318,path_planning,2.17,4.84,0.96,5
T-1319,object_tracking,4.45,24.48,1.75,5
T-1320,path_planning,3.81,7.87,0.88,5
T-1321,path_planning,2.1,6.09,1.04,3
T-1322,path_planning,3.89,3.59,1.09,5
T-1323,terrain_mapping,11.31,74.82,4.34,2
T-1324,anomaly_detection,4.86,27.41,1.59,4
T-1325,object_tracking,4.43,23.24,1.64,5
T-1326,path_planning,2.82,3.73,0.92,5
T-1327,object_tracking,4.9,17.48,1.55,5
T-1328,image_processing,6.04,42.66,2.82,3
T-1329,path_planning,3.43,6.54,1.09,5
T-1330,image_processing,8.23,41.04,3.43,3
T-1331,anomaly_detection,6.99,34.09,2.18,4
T-1332,image_processing,6.02,50.09,2.88,3
T-1333,anomaly_detection,4.4,33.38,1.53,4
T-1334,path_planning,3.01,7.65,1.15,3
T-1335,object_tracking,4.87,17.6,1.39,5
T-1336,terrain_mapping,11.49,85.04,5.12,2
T-1337,anomaly_detection,6.71,23.95,2.08,4
T-1338,object_tracking,4.63,23.93,1.39,5
T-1339,path_planning,3.11,7.61,1.05,5
T-1340,path_planning,2.3,4.15,0.81,5
T-1341,terrain_mapping,9.75,89.86,5.39,3
T-1342,object_tracking,4.97,19.93,1.71,5
T-1343,image_processing,7.4,44.07,2.78,3
T-1344,object_tracking,5.65,20.63,1.6,5
T-1345,image_processing,8.1,51.42,2.92,4
T-1346,image_processing,9.55,40.52,3.18,3
T-1347,terrain_mapping,9.49,87.87,4.16,2
T-1348,image_processing,6.32,56.61,3.16,3
T-1349,anomaly_detection,5.78,20.09,2.18,4
T-1350,terrain_mapping,9.3,81.95,5.1,2
T-1351,object_tracking,4.26,23.63,1.68,5
T-1352,image_processing,8.98,50.94,3.1,3
T-1353,path_planning,2.48,6.85,0.96,2
T-1354,path_planning,2.78,5.01,1.06,5
T-1355,path_planning,2.24,5.45,0.97,5
T-1356,anomaly_detection,6.71,29.05,1.75,3
T-1357,object_tracking,4.4,19.45,1.43,5
T-1358,object_tracking,4.85,22.56,1.69,5
T-1359,terrain_mapping,10.52,62.79,4.77,2
T-1360,path_planning,3.3,6.57,1.17,5
T-1361,object_tracking,4.17,19.68,1.25,5
T-1362,anomaly_detection,4.45,21.92,2.13,4
T-1363,object_tracking,4.86,20.69,1.53,5
T-1364,object_tracking,4.22,19.25,1.26,5
T-1365,object_tracking,5.63,18.55,1.55,5
T-1366,image_processing,6.46,53.23,2.68,3
T-1367,terrain_mapping,8.18,72.49,5.06,2
T-1368,terrain_mapping,11.03,73.5,5.21,2
T-1369,path_planning,2.42,3.39,1.19,5
T-1370,image_processing,7.74,40.36,2.89,4
T-1371,terrain_mapping,10.77,86.06,5.45,2
T-1372,terrain_mapping,9.21,84.39,4.93,2
T-1373,terrain_mapping,11.22,62.63,4.2,2
T-1374,image_processing,8.78,43.76,2.53,3
T-1375,path_planning,3.3,5.18,1.05,5
T-1376,path_planning,2.17,6.85,0.86,5
T-1377,image_processing,6.66,43.05,3.2,3
T-1378,terrain_mapping,8.08,73.49,4.36,2
T-1379,terrain_mapping,8.2,60.24,4.95,2
T-1380,terrain_mapping,11.39,82.11,4.89,2
T-1381,anomaly_detection,4.11,26.0,1.86,4
T-1382,terrain_mapping,8.93,61.82,4.03,2
T-1383,object_tracking,4.13,23.93,1.45,5
T-1384,terrain_mapping,10.49,79.39,4.67,2
T-1385,path_planning,2.58,3.96,0.94,5
T-1386,path_planning,3.18,6.42,1.17,5
T-1387,terrain_mapping,8.52,68.8,5.07,2
T-1388,anomaly_detection,6.39,32.0,2.09,4
T-1389,anomaly_detection,6.07,21.29,1.84,4
T-1390,path_planning,3.21,3.5,0.97,5
T-1391,anomaly_detection,4.7,28.35,2.2,4
T-1392,anomaly_detection,5.07,22.38,2.08,4
T-1393,image_processing,9.23,46.75,2.61,3
T-1394,object_tracking,4.45,17.58,1.4,5
T-1395,image_processing,9.08,51.14,3.4,3
T-1396,object_tracking,5.21,16.04,1.23,5
T-1397,terrain_mapping,11.85,82.67,5.46,2
T-1398,object_tracking,5.56,24.47,1.69,1
T-1399,path_planning,3.26,7.35,1.16,5
T-1400,anomaly_detection,6.12,31.43,1.85,4
T-1401,path_planning,3.29,4.67,0.86,5
T-1402,terrain_mapping,11.88,83.08,4.01,2
T-1403,terrain_mapping,9.37,75.15,4.13,2
T-1404,terrain_mapping,9.44,79.95,4.23,2
T-1405,terrain_mapping,11.15,64.14,4.64,2
T-1406,terrain_mapping,11.81,75.48,5.02,2
T-1407,terrain_mapping,8.58,60.3,5.21,2
T-1408,image_processing,7.35,48.03,3.27,3
T-1409,terrain_mapping,11.04,79.81,4.96,2
T-1410,image_processing,9.91,59.6,3.3,3
T-1411,anomaly_detection,5.26,33.29,1.99,4
T-1412,anomaly_detection,6.73,20.12,1.7,4
T-1413,path_planning,3.4,5.23,0.88,5
T-1414,object_tracking,5.3,21.97,1.73,5
T-1415,terrain_mapping,11.1,86.43,4.13,2
T-1416,terrain_mapping,10.9,82.2,4.19,2
T-1417,anomaly_detection,4.64,27.68,1.72,4
T-1418,path_planning,2.05,7.45,1.02,5
T-1419,anomaly_detection,6.18,34.8,1.58,3
T-1420,anomaly_detection,5.88,25.32,1.53,4
T-1421,image_processing,7.79,51.45,2.51,3
T-1422,path_planning,3.61,7.95,1.03,5
T-1423,object_tracking,5.69,17.34,1.38,5
T-1424,object_tracking,5.34,22.14,1.51,5
T-1425,anomaly_detection,5.55,22.89,2.04,4
T-1426,path_planning,3.42,7.14,0.83,2
T-1427,terrain_mapping,8.86,62.34,5.02,2
T-1428,object_tracking,5.04,18.95,1.36,5
T-1429,terrain_mapping,11.99,80.67,5.42,2
T-1430,terrain_mapping,11.3,64.33,4.19,2
T-1431,path_planning,3.94,5.57,1.01,5
T-1432,terrain_mapping,9.89,82.39,5.42,2
T-1433,image_processing,8.41,48.17,2.62,3
T-1434,image_processing,8.09,42.35,2.8,3
T-1435,anomaly_detection,5.46,31.87,1.6,4
T-1436,image_processing,9.75,46.1,2.78,3
T-1437,terrain_mapping,8.01,76.43,4.1,4
T-1438,object_tracking,4.62,19.52,1.4,5
T-1439,object_tracking,4.27,16.39,1.58,5
T-1440,terrain_mapping,8.6,81.84,4.13,2
T-1441,object_tracking,4.82,17.33,1.44,5
T-1442,terrain_mapping,10.94,79.38,5.3,2
T-1443,object_tracking,5.26,22.72,1.39,5
T-1444,object_tracking,4.17,24.55,1.53,5
T-1445,object_tracking,5.04,22.51,1.5,5
T-1446,path_planning,3.92,4.37,0.88,5
T-1447,object_tracking,4.89,23.07,1.56,5
T-1448,image_processing,7.97,58.68,2.84,3
T-1449,image_processing,9.44,46.35,2.76,1
T-1450,object_tracking,4.34,16.44,1.35,3
T-1451,terrain_mapping,10.71,61.77,5.44,2
T-1452,image_processing,7.19,41.97,2.64,3
T-1453,anomaly_detection,5.13,32.42,1.58,4
T-1454,object_tracking,5.17,19.93,1.65,5
T-1455,image_processing,7.08,46.37,3.05,1
T-1456,terrain_mapping,10.53,87.41,4.03,2
T-1457,object_tracking,5.35,17.46,1.53,5
T-1458,anomaly_detection,5.7,26.69,2.09,4
T-1459,path_planning,2.75,7.93,1.11,5
T-1460,terrain_mapping,11.85,76.65,4.06,2
T-1461,object_tracking,4.58,24.72,1.2,5
T-1462,terrain_mapping,9.09,67.53,5.02,2
T-1463,path_planning,3.17,5.55,0.82,5
T-1464,object_tracking,4.14,15.9,1.62,5
T-1465,object_tracking,6.0,23.78,1.33,5
T-1466,anomaly_detection,6.65,34.18,1.94,4
T-1467,terrain_mapping,9.09,79.87,4.48,2
T-1468,object_tracking,4.66,24.14,1.28,5
T-1469,object_tracking,4.95,24.01,1.6,5
T-1470,terrain_mapping,11.05,76.14,5.18,2
T-1471,image_processing,8.15,57.85,3.32,3
T-1472,image_processing,7.41,56.26,3.33,3
T-1473,path_planning,3.68,7.06,1.19,3
T-1474,path_planning,2.89,4.11,0.81,5
T-1475,anomaly_detection,4.57,32.24,1.94,4
T-1476,path_planning,2.47,5.47,0.95,5
T-1477,object_tracking,4.42,16.96,1.69,5
T-1478,anomaly_detection,5.71,27.41,1.89,4
T-1479,object_tracking,5.34,21.03,1.31,5
T-1480,image_processing,6.51,58.67,3.36,3
T-1481,anomaly_detection,4.58,30.17,2.19,4
T-1482,object_tracking,5.23,21.81,1.73,4
T-1483,image_processing,9.42,46.46,3.34,3
T-1484,image_processing,8.72,49.33,2.86,3
T-1485,path_planning,2.09,7.59,1.01,5
T-1486,terrain_mapping,8.78,62.45,4.86,2
T-1487,terrain_mapping,11.83,87.51,4.3,2
T-1488,image_processing,8.5,41.93,2.98,3
T-1489,object_tracking,5.59,24.35,1.7,5
T-1490,terrain_mapping,8.95,70.22,4.08,2
T-1491,path_planning,3.89,6.88,1.05,5
T-1492,terrain_mapping,10.32,62.57,4.09,3
T-1493,image_processing,9.13,41.24,3.3,5
T-1494,terrain_mapping,8.26,80.33,4.84,2
T-1495,terrain_mapping,9.61,78.52,4.62,2
T-1496,object_tracking,4.02,18.84,1.68,5
T-1497,object_tracking,4.2,21.51,1.61,5
T-1498,anomaly_detection,5.76,21.62,1.51,4
T-1499,object_tracking,5.58,16.94,1.54,5
T-1500,anomaly_detection,5.07,27.22,1.93,4
T-1501,path_planning,3.59,3.3,0.92,5
T-1502,anomaly_detection,4.93,33.28,2.04,3
T-1503,object_tracking,4.69,18.69,1.2,5
T-1504,path_planning,2.11,5.54,1.13,5
T-1505,terrain_mapping,9.38,89.3,4.96,2
T-1506,image_processing,7.37,53.36,3.19,3
T-1507,object_tracking,5.38,23.52,1.54,5
T-1508,anomaly_detection,5.26,22.43,1.82,4
T-1509,image_processing,7.98,58.4,3.14,3
T-1510,terrain_mapping,10.5,67.17,5.1,2
T-1511,anomaly_detection,6.42,25.64,1.78,4
T-1512,image_processing,7.45,41.47,2.53,3
T-1513,terrain_mapping,8.78,77.57,5.15,1
T-1514,path_planning,2.4,3.87,1.15,5
T-1515,anomaly_detection,6.54,23.69,1.64,4
T-1516,anomaly_detection,6.73,20.31,1.97,4
T-1517,image_processing,7.35,44.2,2.96,3
T-1518,anomaly_detection,5.98,34.12,2.18,4
T-1519,terrain_mapping,11.51,61.96,4.22,2
T-1520,path_planning,2.38,4.89,0.95,5
T-1521,path_planning,3.84,6.82,1.03,5
T-1522,anomaly_detection,6.37,24.92,1.54,4
T-1523,path_planning,3.7,7.84,1.15,5
T-1524,image_processing,9.14,55.82,3.11,3
T-1525,terrain_mapping,11.01,79.35,4.76,2
T-1526,terrain_mapping,8.72,81.37,4.79,2
T-1527,terrain_mapping,9.9,77.44,4.96,2
T-1528,image_processing,6.83,57.9,2.95,3
T-1529,path_planning,2.61,7.44,1.03,5
T-1530,anomaly_detection,4.76,21.27,2.03,4
T-1531,object_tracking,4.7,20.84,1.48,5
T-1532,terrain_mapping,9.8,72.98,4.55,2
T-1533,anomaly_detection,5.15,22.69,1.66,4
T-1534,anomaly_detection,6.7,24.42,1.85,4
T-1535,image_processing,9.14,58.53,2.6,1
T-1536,object_tracking,4.4,16.97,1.4,5
T-1537,anomaly_detection,4.57,29.06,1.6,4
T-1538,object_tracking,5.82,15.09,1.38,5
T-1539,terrain_mapping,11.78,84.66,5.14,5
T-1540,path_planning,3.73,4.14,1.09,5
T-1541,path_planning,3.03,6.93,1.1,5
T-1542,terrain_mapping,9.36,62.58,5.27,2
T-1543,terrain_mapping,8.84,73.5,4.84,2
T-1544,object_tracking,5.75,18.06,1.64,5
T-1545,anomaly_detection,5.02,26.29,1.98,4
T-1546,object_tracking,4.6,20.87,1.54,2
T-1547,path_planning,3.95,7.97,1.03,5
T-1548,object_tracking,5.15,18.91,1.43,5
T-1549,image_processing,8.14,43.77,2.61,3
T-1550,terrain_mapping,10.56,69.14,4.26,2
T-1551,path_planning,2.06,6.45,1.0,5
T-1552,image_processing,9.65,47.72,2.71,3
T-1553,object_tracking,4.14,15.57,1.51,5
T-1554,terrain_mapping,9.56,89.69,4.19,2
T-1555,image_processing,7.56,58.07,2.71,3
T-1556,anomaly_detection,5.3,30.65,1.83,4
T-1557,anomaly_detection,5.76,27.54,1.98,4
T-1558,image_processing,9.96,48.91,3.32,3
T-1559,path_planning,3.05,7.55,1.15,5
T-1560,object_tracking,4.08,15.91,1.59,5
T-1561,anomaly_detection,6.1,30.67,1.71,4
T-1562,path_planning,2.83,3.9,1.05,5
T-1563,terrain_mapping,11.64,65.5,4.85,2
T-1564,image_processing,6.96,57.41,2.77,3
T-1565,anomaly_detection,6.0,21.0,2.01,4
T-1566,terrain_mapping,9.65,82.86,4.18,2
T-1567,image_processing,8.02,55.59,2.91,3
T-1568,path_planning,3.01,5.31,0.83,5
T-1569,terrain_mapping,9.52,82.38,5.28,2
T-1570,image_processing,7.0,54.18,2.64,3
T-1571,terrain_mapping,9.94,62.05,4.82,2
T-1572,terrain_mapping,8.56,84.61,5.26,2
T-1573,image_processing,8.43,43.54,2.62,3
T-1574,path_planning,2.16,6.82,1.07,5
T-1575,anomaly_detection,4.53,30.72,2.12,4
T-1576,terrain_mapping,10.79,85.1,5.22,2
T-1577,image_processing,7.56,46.17,2.55,4
T-1578,path_planning,3.86,4.87,0.9,4
T-1579,image_processing,9.96,46.74,2.69,3
T-1580,path_planning,3.92,3.48,1.13,5
T-1581,path_planning,2.09,5.56,1.13,5
T-1582,path_planning,3.25,7.67,0.96,5
T-1583,path_planning,2.43,4.78,0.87,5
T-1584,anomaly_detection,4.04,23.19,1.65,4
T-1585,anomaly_detection,5.95,25.53,1.55,4
T-1586,anomaly_detection,6.3,27.49,2.19,4
T-1587,object_tracking,4.34,24.59,1.56,5
T-1588,terrain_mapping,10.71,89.17,5.04,2
T-1589,anomaly_detection,6.93,30.0,1.55,5
T-1590,terrain_mapping,9.53,79.22,4.35,2
T-1591,image_processing,6.93,52.33,3.4,3
T-1592,terrain_mapping,11.03,78.59,4.09,2
T-1593,anomaly_detection,4.61,25.64,1.95,4
T-1594,object_tracking,5.98,19.44,1.73,3
T-1595,image_processing,8.08,59.55,3.15,3
T-1596,image_processing,6.92,54.66,2.84,3
T-1597,image_processing,9.63,53.3,2.75,3
T-1598,path_planning,3.22,4.91,0.93,5
T-1599,image_processing,6.26,49.83,3.45,2
T-1600,path_planning,2.25,3.87,1.02,5
T-1601,path_planning,2.47,3.39,1.09,5
T-1602,path_planning,2.49,3.88,0.9,5
T-1603,terrain_mapping,11.87,66.04,5.29,2
T-1604,anomaly_detection,5.19,22.52,1.81,4
T-1605,terrain_mapping,11.04,84.59,5.19,4
T-1606,terrain_mapping,11.42,82.77,5.38,2
T-1607,path_planning,3.11,3.88,0.95,5
T-1608,anomaly_detection,5.13,29.09,1.55,4
T-1609,path_planning,2.31,3.95,0.81,5
T-1610,anomaly_detection,5.47,33.89,2.16,4
T-1611,anomaly_detection,5.15,24.62,2.19,1
T-1612,image_processing,7.54,51.31,2.69,3
T-1613,anomaly_detection,6.31,31.27,1.74,4
T-1614,anomaly_detection,6.09,29.76,2.15,4
T-1615,path_planning,2.96,7.61,0.94,5
T-1616,image_processing,8.79,52.91,2.76,3
T-1617,path_planning,2.51,6.01,1.18,5
T-1618,image_processing,6.47,41.85,3.21,3
T-1619,object_tracking,5.95,15.8,1.75,5
T-1620,path_planning,3.66,4.26,0.92,5
T-1621,terrain_mapping,10.34,82.02,5.13,2
T-1622,image_processing,6.44,51.45,3.3,3
T-1623,anomaly_detection,6.25,33.95,1.78,4
T-1624,path_planning,3.63,3.01,0.83,5
T-1625,object_tracking,4.83,17.88,1.46,5
T-1626,path_planning,3.41,3.99,0.87,5
T-1627,terrain_mapping,10.27,66.38,4.3,2
T-1628,path_planning,2.52,7.51,0.96,5
T-1629,object_tracking,4.22,21.36,1.25,1
T-1630,anomaly_detection,4.19,20.44,1.66,4
T-1631,image_processing,6.04,45.32,3.46,3
T-1632,image_processing,6.39,50.45,2.51,3
T-1633,anomaly_detection,6.8,27.1,1.74,4
T-1634,anomaly_detection,6.05,25.15,1.72,4
T-1635,anomaly_detection,6.0,25.68,1.54,4
T-1636,anomaly_detection,6.42,20.05,2.11,4
T-1637,path_planning,2.05,3.61,1.01,5
T-1638,path_planning,2.74,6.09,1.06,5
T-1639,terrain_mapping,10.64,60.09,4.96,2
T-1640,anomaly_detection,4.05,25.4,1.53,4
T-1641,anomaly_detection,6.03,23.5,1.84,4
T-1642,image_processing,7.39,58.78,3.44,3
T-1643,image_processing,8.94,45.88,2.7,5
T-1644,object_tracking,5.57,22.17,1.22,5
